feature_1,feature_2,correlation,abs_correlation
Creatinine,diabetes,0.0507757440965172,0.0507757440965172
Cholesterol,Statin,-0.05030953330113624,0.05030953330113624
Creatinine,heart_disease,0.05003240485147593,0.05003240485147593
AF,Antihypertensive_flag,0.049551042992774505,0.049551042992774505
bps,Triglyceride,0.04923592218390843,0.04923592218390843
LDL,Creatinine,-0.04897712603145812,0.04897712603145812
bpd,heart_disease,-0.048468492150216404,0.048468492150216404
bmi,Gemfibrozil,0.04792902039183269,0.04792902039183269
bmi,LDL,0.0476479308842087,0.0476479308842087
bmi,heart_disease,-0.047486125664117335,0.047486125664117335
TC:HDL_ratio,stroke_flag,-0.04739362876566652,0.04739362876566652
bmi,stroke_flag,-0.047349262827829315,0.047349262827829315
AF,Statin,0.04691364502550473,0.04691364502550473
height,Antihypertensive_flag,0.046891936129835506,0.046891936129835506
diabetes,Gemfibrozil,0.04686144122175747,0.04686144122175747
LDL,AF,-0.045172828272312164,0.045172828272312164
age,diabetes,-0.04493182556274985,0.04493182556274985
bpd,hypertension,0.044306291771561056,0.044306291771561056
bw,heart_disease,-0.044268425717310676,0.044268425717310676
Triglyceride,hypertension,-0.04425464297643348,0.04425464297643348
heart_disease,diabetes,-0.04415619986887333,0.04415619986887333
bps,stroke_flag,0.0440200408897171,0.0440200408897171
LDL,Statin,-0.043852909822877775,0.043852909822877775
eGFR,stroke_flag,-0.043766115381166676,0.043766115381166676
height,FBS,0.04355254567026052,0.04355254567026052
age,Statin,0.043248353199439454,0.043248353199439454
diabetes,stroke_flag,-0.04232177770969547,0.04232177770969547
drinking,bps,0.04185232778987984,0.04185232778987984
age,smoke,-0.0414151862568373,0.0414151862568373
height,Cholesterol,-0.04097232795204923,0.04097232795204923
HDL,hypertension,0.04010306018005399,0.04010306018005399
sex,stroke_flag,-0.0394798755037913,0.0394798755037913
heart_disease,Antihypertensive_flag,-0.03847293468866341,0.03847293468866341
heart_disease,TC:HDL_ratio,-0.038105568595794025,0.038105568595794025
hypertension,Statin,-0.03734907243594756,0.03734907243594756
Statin,stroke_flag,0.03688843250485109,0.03688843250485109
bps,diabetes,-0.03578302660698091,0.03578302660698091
height,bps,0.03476536736893782,0.03476536736893782
smoke,stroke_flag,0.034502601117762,0.034502601117762
sex,bps,-0.03426210362341832,0.03426210362341832
bmi,smoke,-0.03350671372394327,0.03350671372394327
height,Triglyceride,0.03302072899020517,0.03302072899020517
FBS,stroke_flag,0.032186520238363145,0.032186520238363145
drinking,stroke_flag,0.03208004602407979,0.03208004602407979
bw,stroke_flag,-0.03202083209179615,0.03202083209179615
heart_disease,Statin,0.032001044912531446,0.032001044912531446
sex,Antihypertensive_flag,-0.03178167576060766,0.03178167576060766
bw,Cholesterol,0.031608053660125354,0.031608053660125354
bw,LDL,0.030245126730039738,0.030245126730039738
height,bmi,0.0296435172623179,0.0296435172623179
height,AF,-0.028443623765948084,0.028443623765948084
bmi,drinking,-0.028183203203273523,0.028183203203273523
Creatinine,stroke_flag,0.027924868868253912,0.027924868868253912
drinking,HDL,-0.025875067377029385,0.025875067377029385
TC:HDL_ratio,Antihypertensive_flag,-0.025717261860024185,0.025717261860024185
height,LDL,-0.024874414486372683,0.024874414486372683
bps,Creatinine,0.024853170765411978,0.024853170765411978
Triglyceride,Antihypertensive_flag,-0.024613536692457742,0.024613536692457742
sex,hypertension,-0.024288623289168875,0.024288623289168875
smoke,heart_disease,0.02418700722906596,0.02418700722906596
drinking,heart_disease,0.024161290119358025,0.024161290119358025
Cholesterol,FBS,0.02408186671697167,0.02408186671697167
AF,TC:HDL_ratio,-0.02374808944007929,0.02374808944007929
Gemfibrozil,stroke_flag,-0.02365203565998076,0.02365203565998076
Triglyceride,Creatinine,0.023621456427928282,0.023621456427928282
heart_disease,Gemfibrozil,-0.02359974020187338,0.02359974020187338
smoke,hypertension,-0.022233773158806123,0.022233773158806123
height,stroke_flag,0.02202418479108096,0.02202418479108096
heart_disease,stroke_flag,-0.021486386559245594,0.021486386559245594
hypertension,Gemfibrozil,-0.020423322075208354,0.020423322075208354
age,bps,-0.020361970341928114,0.020361970341928114
diabetes,Antihypertensive_flag,-0.02034626082426068,0.02034626082426068
bpd,FBS,0.019999998762232483,0.019999998762232483
smoke,TC:HDL_ratio,-0.01964311737022922,0.01964311737022922
drinking,hypertension,-0.019064848203209642,0.019064848203209642
LDL,Antihypertensive_flag,-0.018850540150058406,0.018850540150058406
drinking,bpd,0.01811175787079749,0.01811175787079749
AF,stroke_flag,0.018061042699502327,0.018061042699502327
Triglyceride,heart_disease,-0.0180445966612182,0.0180445966612182
sex,Triglyceride,-0.01792401639954891,0.01792401639954891
sex,AF,0.017589880101270293,0.017589880101270293
HDL,Antihypertensive_flag,0.016421544422945942,0.016421544422945942
drinking,Triglyceride,-0.015552726441165406,0.015552726441165406
drinking,TC:HDL_ratio,-0.015238785565662457,0.015238785565662457
Triglyceride,eGFR,0.015056410644369023,0.015056410644369023
diabetes,TC:HDL_ratio,0.015030150760641358,0.015030150760641358
smoke,Triglyceride,-0.014800280332269655,0.014800280332269655
sex,heart_disease,-0.014392756485649291,0.014392756485649291
bps,AF,-0.013905600024315968,0.013905600024315968
Triglyceride,stroke_flag,-0.013621905674785356,0.013621905674785356
bps,Statin,-0.012703327441555627,0.012703327441555627
height,Statin,-0.01259162311219692,0.01259162311219692
smoke,HDL,-0.012368373320376325,0.012368373320376325
bw,AF,-0.012334000322189983,0.012334000322189983
Triglyceride,Statin,-0.012088896787623727,0.012088896787623727
Cholesterol,Antihypertensive_flag,-0.011909608568540809,0.011909608568540809
sex,FBS,-0.011805174984706327,0.011805174984706327
HDL,LDL,-0.01156014026311574,0.01156014026311574
Triglyceride,AF,-0.011355542767052683,0.011355542767052683
bps,heart_disease,-0.011055641868269572,0.011055641868269572
Creatinine,Gemfibrozil,-0.010996325117096844,0.010996325117096844
HDL,AF,-0.01030081661587061,0.01030081661587061
age,drinking,-0.009834887409460388,0.009834887409460388
LDL,FBS,0.009801605821999602,0.009801605821999602
HDL,heart_disease,-0.009741380252119371,0.009741380252119371
sex,Statin,0.009732801118958238,0.009732801118958238
height,heart_disease,-0.009524562909011571,0.009524562909011571
bps,eGFR,-0.009403382480220235,0.009403382480220235
sex,age,0.009348450010323351,0.009348450010323351
bps,hypertension,-0.00888323189842071,0.00888323189842071
height,diabetes,-0.00826027775624847,0.00826027775624847
height,hypertension,0.007193561194623142,0.007193561194623142
